____ ? There's a app for that.,1
Why can't I sleep at night ?,1
What's that smell ?,1
I got 99 problems but _____ ain't one.,1
Who stole the cookies from the cookie jar ?,1
What's the next Happy Meal toy ?,1
Anthropologists have recently discovered a primitive tribe that worships ____,1
It's a pity that kids these days are all getting involved with ____,1
"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____",1
Alternative medecine is now embracing the curative powers of ____,1
And the Academy Award for ____ goes to ____ (2),2
What's that sound ?,1
What ended my last relationship ?,1
MTV's new reality show features eight washed-up celebrities living with ____ ,1
I drink to forget ____,1
"I'm sorry Professor, but I couldn't complete my homework because of ____",1
What is Batman's guilty pleasure ?,1
"This is the way the worlds ends, Not with a bang but with ____",1
What's a girl's best friend ?,1
TSA guidelines now prohibits ____ on airplanes.,1
____. This is how I die,1
"For my next trick, I will pull ____ out of ____ (2)",2
"In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.",1
____ is a slippery slope that leads to ____ (2),2
What does Dick Cheney prefer ?,1
I wish I hadn't lost the instruction manual for ____,1
"Instead of coal, Santa now gives the bad children ____.",1
What's the most emo ?,1
"In 1000 years, when paper money is but a distant memory, ____ will be our currency.",1
What's the next superhero/sidekick duo ? (2),2
"In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ___ all along (2)",2
"A romantic, candlelit dinner would be incomplete without ____",1
_____. Betcha can't have just one!,1
White people like ____,1
"____. High five, bro.",1
Next from J.K. Rowling: Harry Potter and the Chamber of ____,1
BILLY MAYS HERE FOR,1
"In a world savaged by ____, our only solace is _____(2)",2
War! What is it good for ?,1
"During sex, I like to think about ____",1
What are my parents hiding from me ?,1
What will always get you laid ?,1
"When I'm in prison, I'll have ____ smuggled in.",1
What did I bring back from Mexico ?,1
What don't you want to find in your Chinese food ?,1
What will I bring back in time to convince people that I am a powerful wizard ?,1
How am I maintaining my relationship status ?,1
____. It's a trap !,1
"Coming to Broadway this season,  ____: the musical.",1
"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____",1
"After Hurricane Katrina, Sean Penn brought ____ to the people of New Orleans",1
"Due to a PR fiasco, Walmart no longer offers ____",1
"In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ (2)",2
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ (2),2
"But before I kill you, Mr Bond, I must show you ____",1
What gives me uncontrollable gas ?,1
What do old people smell like ?,1
The class field trip was completely ruined by ___,1
"When Pharaoh remained unmoved, Moses called down a Plague of ____",1
What's my secret power ?,1
What's there a ton of in heaven?,1
"What would grandma find disturbing, yet oddly charming?",1
I never truly understood ____ until I encountered ____ (2),2
The US has begun airdropping ___ to the children of Afghanistan,1
What helps Obama unwind?,1
What did Vin Diesel eat for dinner?,1
____ : Good to the last drop,1
Why am I sticky?,1
What gets better with age?,1
"____: kid-tested, mother-approved",1
What's the crustiest ?,1
What's Teach for America using to inspire inner city student to succeed?,1
Studies show that lab rats navigate mazes 50% after being exposed to ____,1
Life was difficult for cavemen before _____,1
"Make a haiku. (draw 2, pick 3)",3
"I do not know with what weapons World War III will be fought, but World War IV will be fought with ____",1
Why do I hurt all over?,1
What am I giving up for Lent?,1
"In Michael Jackson's final moments, he thought about ____",1
"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____",1
"When I am President of the United States, I will create the Department of ____",1
"LifeTime presents _____, the story of ____(2)",2
"When I am a billionaire, I shall erect a 50-foot statue to commemorate ____",1
"When I was tripping on acid, ____ turned into ____ (2)",2
"That's right, I killed ____, How, you ask? ____ (2)",2
What's my anti-drug?,1
What never fails to liven up the party?,1
What's the new fad diet?,1
Major League Baseball has banned ____ for giving players an unfair advantage.,1
